LK,LKNR,11.09.2021,12.09.2021,13.09.2021,14.09.2021,15.09.2021,16.09.2021,17.09.2021,18.09.2021,19.09.2021,20.09.2021,21.09.2021,22.09.2021,23.09.2021,24.09.2021,25.09.2021,26.09.2021,27.09.2021,28.09.2021,29.09.2021,30.09.2021,01.10.2021,02.10.2021,03.10.2021,04.10.2021,05.10.2021,06.10.2021,07.10.2021,08.10.2021,09.10.2021,10.10.2021,11.10.2021,12.10.2021,13.10.2021,14.10.2021,15.10.2021,16.10.2021,17.10.2021,18.10.2021,19.10.2021,20.10.2021,21.10.2021,22.10.2021,23.10.2021,24.10.2021,25.10.2021,26.10.2021,27.10.2021,28.10.2021,29.10.2021,30.10.2021,31.10.2021,01.11.2021,02.11.2021,03.11.2021,04.11.2021,05.11.2021,06.11.2021,07.11.2021,08.11.2021,09.11.2021,10.11.2021,11.11.2021,12.11.2021,13.11.2021,14.11.2021,15.11.2021,16.11.2021,17.11.2021,18.11.2021,19.11.2021,20.11.2021,21.11.2021,22.11.2021,23.11.2021,24.11.2021,25.11.2021,26.11.2021,27.11.2021,28.11.2021,29.11.2021,30.11.2021,01.12.2021,02.12.2021,03.12.2021,04.12.2021,05.12.2021,06.12.2021,07.12.2021,08.12.2021,09.12.2021,10.12.2021,11.12.2021,12.12.2021,13.12.2021,14.12.2021,15.12.2021,16.12.2021,17.12.2021,18.12.2021,19.12.2021,20.12.2021,21.12.2021,22.12.2021,23.12.2021,24.12.2021,25.12.2021,26.12.2021,27.12.2021,28.12.2021,29.12.2021,30.12.2021,31.12.2021,01.01.2022,02.01.2022,03.01.2022,04.01.2022,05.01.2022,06.01.2022,07.01.2022,08.01.2022,09.01.2022,10.01.2022,11.01.2022,12.01.2022,13.01.2022,14.01.2022,15.01.2022,16.01.2022,17.01.2022,18.01.2022,19.01.2022,20.01.2022,21.01.2022,22.01.2022,23.01.2022,24.01.2022,25.01.2022,26.01.2022,27.01.2022,28.01.2022,29.01.2022,30.01.2022,31.01.2022,01.02.2022,02.02.2022,03.02.2022,04.02.2022,05.02.2022,06.02.2022,07.02.2022,08.02.2022,09.02.2022,10.02.2022,11.02.2022,12.02.2022,13.02.2022,14.02.2022,15.02.2022,16.02.2022,17.02.2022,18.02.2022,19.02.2022,20.02.2022,21.02.2022,22.02.2022,23.02.2022,24.02.2022,25.02.2022,26.02.2022,27.02.2022,28.02.2022,01.03.2022,02.03.2022,03.03.2022,04.03.2022,05.03.2022,06.03.2022,07.03.2022,08.03.2022,09.03.2022,10.03.2022,11.03.2022,12.03.2022,13.03.2022,14.03.2022,15.03.2022,16.03.2022,17.03.2022,18.03.2022,19.03.2022,20.03.2022,21.03.2022,22.03.2022,23.03.2022,24.03.2022,25.03.2022,26.03.2022,27.03.2022,28.03.2022
LK Erlangen-Hoechstadt,9572,46.3,52.9,50.7,48.5,50.7,52.9,47.1,55.8,56.5,64.4,66.6,68.1,57.2,42.7,47.8,47.8,46.3,42.7,47.8,45.6,45.6,43.4,42.0,42.0,41.3,40.5,49.2,54.3,60.1,63.0,57.9,60.8,58.7,62.3,67.3,68.1,60.8,63.7,64.4,68.1,102.8,86.9,134.7,157.1,166.5,165.8,158.6,178.1,174.5,169.4,167.3,167.3,171.6,166.5,143.4,148.4,194.1,190.4,192.6,200.6,236.1,262.8,332.4,354.8,395.4,426.5,435.2,441.7,444.6,427.9,415.6,416.3,413.5,426.5,410.6,383.8,415.6,429.4,448.9,449.7,420.0,434.5,482.2,474.3,438.1,419.2,426.5,417.8,419.2,399.0,373.6,357.7,360.6,349.7,336.7,302.7,286.7,270.1,254.9,231.0,224.5,220.8,192.6,178.1,172.3,158.6,141.9,134.7,136.1,138.3,136.1,131.8,131.1,136.1,135.4,137.6,136.9,157.9,191.2,194.8,222.3,254.2,238.2,315.7,372.9,401.1,478.6,465.6,523.5,535.8,443.1,456.2,527.1,600.3,627.1,648.8,750.9,711.1,811.7,782.0,832.7,866.0,829.8,895.7,1075.3,1325.8,1586.5,1813.8,2027.4,2051.3,2304.8,2404.7,2313.5,2089.7,1828.3,1839.2,1744.3,1583.6,1453.2,1367.8,1397.5,1442.4,1529.3,1347.5,1369.2,1459.0,1518.4,1447.4,1417.0,1471.3,1590.8,1488.7,1569.1,1632.8,1719.7,1669.7,1556.8,1590.1,1611.8,1628.5,1635.7,2043.4,2341.0,2473.5,2509.0,2519.1,2633.5,2836.2,3023.1,2810.9,2928.2,2982.5,3117.2,3055.6,2805.1,2841.3,2988.3,2960.1,2926.0
LK Erzgebirgskreis,14521,45.2,47.6,50.3,46.7,49.7,52.1,53.3,53.6,45.5,67.2,64.2,63.6,75.3,74.1,79.5,73.8,84.4,80.7,77.7,98.2,99.4,104.5,104.8,110.6,105.4,93.1,118.7,125.0,131.1,135.3,140.1,134.1,129.6,143.7,160.9,170.5,185.3,195.2,187.7,172.6,199.1,214.8,242.5,263.6,297.1,291.3,258.5,319.4,331.1,342.6,324.2,325.1,338.0,338.6,379.3,340.1,392.0,469.1,491.4,440.8,413.4,472.1,565.5,682.1,735.7,743.6,743.6,799.6,791.2,576.3,860.5,1103.6,1306.7,1346.4,1496.2,1657.9,2006.2,2000.5,2021.9,2073.4,1950.5,1794.4,1465.7,1494.7,1513.6,1554.6,1564.5,1283.8,1286.5,1231.6,1197.0,1138.2,1044.5,1101.2,1011.7,919.8,918.3,809.5,762.2,708.6,712.5,660.7,597.1,573.9,518.2,422.7,419.7,419.7,377.8,301.3,302.5,299.8,315.7,317.5,317.5,294.7,256.4,285.0,274.8,237.7,266.0,269.3,234.4,155.5,148.5,142.8,144.9,141.0,152.4,136.2,146.4,150.0,149.7,155.5,164.5,169.9,148.5,188.6,217.5,240.4,254.3,217.8,274.5,285.6,311.8,353.1,424.8,480.2,532.1,559.2,553.2,554.1,713.1,783.9,865.0,881.2,970.7,951.7,949.6,1033.7,1045.1,1119.0,1123.8,1265.4,1149.1,1059.0,1083.4,1231.9,1320.5,1241.9,1435.0,1367.2,1289.8,1390.4,1529.9,1579.9,1534.7,1749.2,1640.5,1356.7,1399.4,1697.1,1825.5,1884.2,2181.6,2103.2,2115.9,2146.0,2293.6,2568.1,2411.4,2648.3,2341.5,2357.5,2337.0,2282.2,2190.3,2317.1,2473.2
LK Esslingen,8116,101.2,93.5,88.5,86.8,82.1,86.0,90.3,82.3,83.4,86.0,77.6,79.3,71.4,76.1,80.4,78.9,78.3,79.8,80.8,86.4,87.9,85.6,76.8,80.2,87.1,83.6,80.0,78.5,75.9,86.2,81.5,83.0,80.6,87.3,81.9,93.9,91.6,83.6,87.0,89.4,95.0,113.6,113.4,121.2,137.4,140.4,153.7,159.1,164.9,191.3,192.8,203.3,205.4,184.2,177.5,174.3,162.1,166.8,161.0,235.9,309.0,342.6,357.6,360.6,396.9,401.8,390.2,374.4,403.1,431.6,453.5,464.9,448.8,509.5,519.5,477.5,483.1,485.7,478.4,474.7,509.4,492.7,493.6,458.2,476.9,435.0,529.0,502.4,507.3,459.3,514.6,572.5,550.8,520.0,472.8,485.0,482.6,394.7,366.0,318.2,347.1,340.5,298.5,303.8,295.3,283.5,238.2,223.8,220.9,229.4,216.6,207.1,199.2,206.9,215.3,207.6,203.0,199.6,200.1,261.8,258.4,278.7,301.2,307.7,316.3,427.5,496.8,589.2,642.8,755.4,860.2,896.9,886.8,910.4,967.5,968.9,981.0,875.7,871.4,930.1,945.1,993.2,1023.2,1133.4,1234.6,1298.5,1333.9,1477.8,1538.9,1565.2,1636.0,1760.8,1816.3,1832.4,1858.6,2009.1,1989.6,1813.7,1702.9,1655.5,1598.9,1532.6,1447.5,1419.4,1503.5,1484.0,1483.5,1442.4,1397.8,1387.5,1262.1,1207.4,1126.7,1140.7,1124.0,1149.0,1121.2,1131.9,1227.8,1252.8,1252.2,1307.5,1359.0,1493.4,1523.9,1642.6,1740.0,1881.7,1981.6,2014.6,2086.0,2015.1,1987.0,1983.1,1954.2,1894.8,1937.7,1656.6,1491.3
LK Euskirchen,5366,92.1,92.6,80.8,75.1,71.5,59.2,55.6,61.2,53.0,52.5,48.9,47.3,44.2,40.1,39.1,41.2,45.3,45.8,45.3,58.7,68.4,74.1,68.4,64.3,61.7,57.6,48.9,37.6,37.0,39.1,35.5,33.4,26.2,23.7,25.2,23.7,23.7,23.7,27.3,33.4,38.1,46.8,42.2,64.8,64.8,65.9,65.9,76.1,77.7,80.3,79.2,79.2,68.9,75.1,76.1,66.4,80.3,95.2,95.2,107.5,121.4,141.0,154.4,174.4,186.8,184.2,202.7,205.8,198.1,220.2,199.1,158.0,151.3,261.9,264.5,301.5,297.4,325.7,268.1,240.8,351.4,343.2,347.3,311.3,315.4,280.9,234.1,269.1,251.1,222.8,236.7,217.1,168.2,147.2,261.4,252.6,275.8,250.1,272.2,262.9,255.7,247.0,253.7,234.1,230.0,217.1,207.9,184.7,165.2,145.6,123.5,187.3,187.3,180.1,184.2,184.7,190.4,174.9,208.9,235.1,284.5,291.2,290.2,242.3,266.5,267.5,333.4,327.2,354.5,378.7,370.4,396.7,416.8,489.3,487.8,530.5,599.4,715.2,749.1,897.3,940.5,987.3,888.6,1333.6,1124.2,917.4,829.4,955.4,898.9,976.5,1004.3,1057.3,994.6,976.0,1067.1,1231.2,1441.1,1459.7,1597.0,1694.3,1809.5,2037.0,2211.4,2243.8,2111.0,2020.0,2023.6,1987.6,1663.4,1484.9,1219.9,1132.4,1178.2,1192.1,1368.1,1542.5,1670.1,1822.4,2086.3,2209.8,2303.0,2238.1,2207.8,2297.3,2204.2,2128.0,2090.5,2089.4,2194.4,2156.8,1934.0,1976.8,2013.8,1858.9,1842.0,1815.7,1785.9,1817.3,1856.9
LK Forchheim,9474,58.3,54.9,59.2,56.6,63.5,60.0,69.5,65.2,60.9,63.5,60.9,55.7,56.6,42.0,36.0,36.0,42.9,44.6,47.2,36.9,49.7,49.7,57.5,57.5,60.9,59.2,76.3,86.6,78.9,84.0,75.5,73.8,78.9,86.6,87.5,98.6,94.3,103.8,114.9,115.8,97.8,116.6,119.2,127.8,123.5,107.2,108.1,129.5,115.8,133.8,117.5,140.7,156.9,169.8,177.5,203.3,212.7,217.8,259.9,281.3,319.9,366.2,405.7,458.0,428.0,472.6,475.1,458.8,469.1,455.4,450.3,449.4,446.8,408.2,514.6,485.4,494.9,490.6,488.9,494.9,478.6,349.1,283.0,383.4,313.9,273.6,244.4,428.0,379.1,379.1,346.5,331.0,333.6,342.2,343.1,249.6,178.4,265.0,289.9,273.6,267.6,265.0,235.0,221.3,218.7,176.7,170.7,177.5,169.0,121.8,162.1,167.2,163.0,162.1,184.4,180.1,205.0,157.8,217.0,229.0,197.3,223.0,244.4,279.6,305.3,354.2,390.2,400.5,462.3,484.6,474.3,559.2,587.5,647.5,637.2,636.4,759.9,771.9,765.0,817.3,835.3,818.2,1015.4,1156.1,1125.2,1243.6,1354.2,1342.2,1175.8,1140.7,1068.6,967.4,1370.5,1421.1,1213.6,1003.4,896.2,1496.6,1562.6,1751.3,1816.5,1759.9,1664.7,1689.5,1581.5,1469.1,1570.3,1561.7,1736.7,1752.1,1836.2,1794.2,1550.6,1553.2,1689.5,1656.1,1635.5,1771.9,1790.7,1837.0,1852.5,1910.8,2203.3,2164.7,2209.3,2403.9,2361.9,2628.6,2813.0,3030.9,2875.6,2909.1,3404.8,3036.9,2747.9,2840.5,2898.8,2813.0,2843.1
LK Freising,9178,63.8,68.2,71.0,71.5,72.7,78.2,89.3,90.4,86.0,82.6,72.7,67.1,64.9,59.9,57.7,61.6,62.7,58.2,72.1,68.2,68.8,74.3,76.0,78.2,71.0,74.3,63.2,78.2,74.3,75.4,79.3,78.8,77.1,75.4,80.4,89.3,95.4,102.0,94.8,107.6,133.1,169.7,183.6,199.7,209.6,189.1,198.0,215.7,194.1,214.1,209.6,232.9,224.6,175.3,197.4,213.0,230.7,267.9,279.5,284.0,326.1,373.8,400.4,417.1,458.6,489.1,483.6,455.3,496.9,493.6,472.5,448.1,491.4,472.0,454.8,470.3,499.7,511.9,514.1,529.1,513.0,476.9,497.5,478.1,449.8,475.3,470.8,429.3,418.7,390.4,401.5,399.3,369.9,366.6,349.4,271.7,318.3,301.1,285.6,277.3,266.2,228.5,203.0,185.2,175.8,171.4,174.7,168.6,156.9,169.2,175.3,172.5,184.7,206.3,201.9,219.6,231.8,259.0,296.2,296.2,314.5,367.7,383.8,421.5,440.9,479.2,524.6,589.0,699.9,748.1,662.2,974.4,1088.7,1145.8,1273.9,1287.2,1332.1,1428.6,1533.4,1535.1,1783.0,1697.0,1679.3,1860.1,1870.6,1930.5,2045.3,2076.9,2055.9,2020.9,2100.2,2055.9,2047.0,1887.8,1930.5,1911.7,1850.7,1799.6,1692.6,1708.1,1686.5,1667.7,1633.8,1617.2,1517.4,1627.7,1549.0,1370.4,1299.4,1273.9,1345.4,1357.6,1276.7,1261.1,1148.0,1317.7,1281.1,1314.4,1287.8,1374.3,1517.9,1662.7,1669.9,1705.9,1680.4,1731.4,1625.0,1683.7,1686.0,1860.7,1856.8,1799.1,1786.9,1859.5,1944.4,1856.2,1916.1,1964.4,2017.6
LK Freudenstadt,8237,92.1,79.4,91.2,89.6,80.3,73.5,81.1,79.4,79.4,82.0,82.0,82.0,82.0,83.6,82.0,92.1,83.6,86.2,106.5,111.5,118.3,120.8,125.0,121.7,119.1,121.7,112.4,108.1,109.8,98.8,96.3,95.5,71.8,76.9,84.5,95.5,99.7,107.3,111.5,115.7,90.4,122.5,124.2,157.1,153.8,156.3,152.9,158.0,172.3,178.3,162.2,162.2,156.3,142.8,122.5,120.8,151.2,170.7,202.8,207.8,240.8,254.3,310.9,317.7,281.3,351.5,364.1,376.8,369.2,296.5,383.6,387.8,408.1,468.9,558.4,631.1,716.4,670.8,702.9,719.0,654.8,602.4,573.7,577.0,598.2,578.7,557.6,545.8,484.1,559.3,489.2,478.2,473.1,454.5,455.4,446.9,417.4,363.3,418.2,438.5,438.5,436.8,477.3,414.0,412.3,354.8,288.1,292.3,295.7,262.7,308.4,280.5,288.9,290.6,286.4,289.8,298.2,296.5,308.4,272.0,316.8,342.2,338.8,357.4,305.8,407.2,469.7,466.4,484.1,487.5,428.3,421.6,479.0,572.8,533.1,562.7,691.1,704.6,782.3,859.2,997.8,1028.2,1000.3,1274.9,1269.8,1377.1,1469.2,1596.8,1674.5,1731.1,1816.4,2008.2,1990.5,1898.4,1953.3,1975.3,1953.3,1919.5,2015.0,2069.0,2156.1,2198.3,2141.7,2101.1,1969.3,1738.7,1568.9,1447.2,1548.6,1561.3,1539.3,1742.1,1901.8,2183.9,2124.0,2117.2,2212.7,2155.2,2176.3,2224.5,2203.4,2352.1,2540.5,2462.7,2396.8,2399.4,2457.7,2464.4,2443.3,2662.1,2677.3,2750.8,2592.0,2410.4,2455.1,2203.4,2335.2,2162.8,2009.1
LK Freyung-Grafenau,9272,45.9,52.3,54.9,49.8,49.8,65.1,67.6,85.5,94.4,94.4,95.7,102.1,95.7,105.9,94.4,94.4,95.7,103.4,107.2,107.2,103.4,102.1,108.5,111.0,93.2,88.1,95.7,104.7,121.2,135.3,142.9,165.9,165.9,174.8,196.5,192.7,185.1,178.7,149.3,146.8,164.6,163.4,162.1,187.6,209.3,197.8,188.9,197.8,220.8,254.0,264.2,322.9,353.5,340.8,303.7,275.7,251.4,504.1,582.0,608.8,713.4,871.7,975.0,938.0,907.4,1007.0,1072.0,1276.2,1272.4,1366.9,1564.7,1651.5,1569.8,1614.4,1512.3,1486.8,1451.1,1410.2,1374.5,1373.2,1264.8,1186.9,1148.6,1116.7,1050.3,1116.7,1074.6,1015.9,1001.9,945.7,930.4,916.3,819.3,746.6,713.4,672.6,567.9,519.4,425.0,368.8,362.5,335.7,302.5,291.0,237.4,227.2,194.0,183.8,185.1,173.6,145.5,145.5,158.3,169.7,164.6,155.7,146.8,167.2,155.7,135.3,136.6,162.1,157.0,168.5,185.1,214.4,233.6,259.1,242.5,261.6,333.1,376.5,416.1,515.6,593.5,636.8,661.1,685.3,805.3,846.1,911.2,913.8,982.7,1014.6,1063.1,1074.6,1015.9,1291.6,1365.6,1398.8,1434.5,1479.2,1585.1,1715.3,1771.4,1776.5,1842.9,1859.5,2177.3,2294.7,2293.4,2325.3,2247.5,2348.3,2270.4,2292.1,2432.5,2727.3,2964.7,3005.6,2842.2,2925.1,2930.3,2871.5,2687.8,2492.5,2467.0,2463.1,2542.3,2595.9,2659.7,2607.4,2566.5,2553.8,2502.7,2330.4,2255.1,2227.0,2274.3,2440.2,2344.5,2296.0,2349.6,2362.3,2377.6,2423.6,2297.2,2574.2,2692.9
LK Friesland,3455,42.4,57.6,55.6,45.5,44.5,48.5,48.5,50.5,31.3,32.3,31.3,29.3,19.2,18.2,14.1,13.1,14.1,16.2,14.1,10.1,15.2,16.2,18.2,12.1,13.1,11.1,13.1,17.2,18.2,17.2,20.2,20.2,24.2,19.2,18.2,19.2,22.2,22.2,22.2,20.2,21.2,22.2,25.3,26.3,29.3,27.3,25.3,25.3,31.3,38.4,37.4,40.4,40.4,41.4,44.5,47.5,45.5,50.5,52.5,49.5,46.5,53.6,51.5,54.6,70.7,66.7,65.7,77.8,104.1,144.5,179.9,196.0,219.3,219.3,222.3,218.2,212.2,206.1,210.2,194.0,178.8,165.7,167.7,154.6,163.7,153.6,146.5,144.5,136.4,129.3,129.3,101.0,79.8,72.7,96.0,87.9,97.0,76.8,73.8,59.6,54.6,63.7,68.7,62.6,64.7,56.6,44.5,64.7,66.7,58.6,61.6,72.7,72.7,72.7,96.0,88.9,87.9,96.0,110.1,150.5,180.9,153.6,167.7,165.7,206.1,203.1,188.9,231.4,240.5,232.4,235.4,239.5,257.7,339.5,415.3,404.2,455.7,518.3,524.4,697.2,748.7,783.1,870.0,836.6,751.7,873.0,814.4,781.0,775.0,855.8,858.8,863.9,776.0,763.9,843.7,979.1,930.6,918.5,920.5,931.6,1048.8,983.1,902.3,882.1,878.0,942.7,966.9,879.0,892.2,840.7,793.2,815.4,813.4,848.7,871.0,892.2,888.1,1007.4,1008.4,980.1,977.1,925.5,1062.9,1204.4,1130.6,1152.9,1200.4,1289.3,1574.2,1353.9,1457.0,1556.0,1740.9,1742.9,1860.1,1651.0,1871.3,1798.5,1642.9
LK Fulda,6631,140.8,143.5,138.1,134.1,117.5,122.9,126.4,111.6,122.0,118.8,111.2,114.3,106.7,93.7,96.0,90.6,86.5,78.9,83.8,83.8,81.2,78.9,81.6,81.2,73.1,64.1,61.0,52.5,51.1,48.0,44.4,48.0,39.5,41.7,42.6,42.6,45.3,44.8,44.4,51.6,61.9,65.0,74.0,79.8,79.4,84.3,102.7,104.5,113.4,106.3,117.9,115.7,115.2,133.2,144.8,157.4,165.0,161.4,156.9,170.4,155.6,167.7,154.2,160.5,158.7,154.2,182.9,173.5,205.4,222.4,220.2,255.1,241.7,282.5,262.3,296.8,319.2,343.5,357.8,314.8,322.4,295.5,324.6,364.1,415.2,383.8,359.2,410.3,414.3,403.1,420.1,414.8,383.4,366.8,356.9,330.9,331.4,336.7,329.1,299.1,284.3,316.1,301.8,304.0,290.1,293.2,276.2,259.6,276.2,334.0,364.1,401.8,385.6,427.8,403.1,420.6,443.0,473.0,448.4,441.2,415.2,381.1,446.6,443.0,534.5,566.8,560.9,527.3,492.3,486.9,425.1,372.2,365.9,355.6,342.6,282.5,274.4,295.9,617.9,1010.7,1371.2,1528.1,1501.6,1615.1,1613.7,1691.8,1795.3,1830.8,1733.5,1582.3,1551.9,1405.2,1369.4,1514.6,1518.7,1585.0,1518.7,1494.0,1515.1,1407.0,1380.6,1217.4,1221.8,1152.8,1043.4,895.4,975.2,1108.4,1091.4,1099.9,1044.3,1082.4,1041.6,993.6,1062.7,1078.4,1145.2,1073.9,1103.9,1277.9,1326.3,1339.8,1380.6,1456.8,1389.5,1357.3,1503.4,1602.1,1671.1,1695.3,1710.1,1596.7,1730.3,1819.1,1874.2,2067.9,2139.2,2131.6,1961.2
LK Fuerstenfeldbruck,9179,84.1,83.2,81.4,85.9,84.6,82.3,74.5,70.9,75.0,76.3,70.4,64.5,58.5,54.9,45.3,56.7,57.6,55.8,62.6,66.3,72.7,69.5,68.6,72.2,72.2,61.7,65.8,66.3,58.1,52.6,48.5,45.3,42.5,37.9,38.4,46.2,53.5,62.6,62.6,72.2,73.6,90.1,93.7,91.9,99.7,103.3,100.6,100.6,125.3,137.6,132.1,139.4,141.7,131.2,133.9,152.2,175.1,169.6,183.8,220.8,261.0,266.5,283.4,337.8,293.5,281.6,448.0,406.0,370.3,422.9,362.1,411.4,485.5,507.5,497.9,461.7,468.6,455.3,440.2,465.8,440.7,449.4,456.2,442.5,404.6,417.8,363.9,361.6,318.2,306.3,316.4,312.2,280.7,262.9,247.3,236.4,180.6,175.6,170.1,170.1,166.0,164.6,145.4,147.2,156.8,155.9,151.8,149.5,152.7,118.9,159.6,166.4,174.2,149.9,168.7,178.3,198.4,221.3,209.4,224.5,294.9,322.8,382.6,412.8,342.4,539.5,583.8,521.2,730.5,714.1,845.8,939.9,919.4,890.6,835.2,874.1,882.8,701.7,710.4,801.9,946.3,1057.4,1113.2,1230.7,1253.1,1092.6,3019.1,3720.4,3822.8,4083.8,4031.3,3553.5,2428.9,2389.6,2152.3,2047.2,1777.9,1739.1,1661.3,1689.7,1556.2,1486.7,1475.3,1487.6,1502.7,1503.2,1448.3,1275.5,1230.2,1342.2,1328.5,1283.3,1203.3,1082.1,1271.4,1345.0,1195.5,1234.8,1268.2,1402.1,1627.5,1642.6,1698.8,1873.5,1812.7,1911.9,1770.1,1955.3,2022.9,2244.7,2124.9,2151.9,2045.8,2046.7,2086.0,2362.2,2199.0,2288.6,2293.1
LK Fuerth,9573,55.6,62.3,68.2,68.2,69.9,72.5,80.0,70.8,68.2,67.4,64.9,69.1,67.4,75.0,67.4,79.2,82.6,80.0,91.0,90.1,72.5,75.8,80.0,80.0,80.0,83.4,85.9,87.6,74.1,85.9,91.8,87.6,84.2,85.1,88.5,102.8,100.3,101.9,101.1,127.2,134.8,140.7,140.7,144.9,152.5,149.1,145.8,145.8,185.3,182.8,197.1,205.6,212.3,177.8,179.5,193.8,224.1,237.6,256.1,257.0,294.9,309.2,288.1,358.1,369.0,399.3,395.1,405.2,449.9,477.7,529.9,539.2,563.6,557.7,599.0,560.3,565.3,544.3,545.1,515.6,500.4,441.5,455.8,436.4,446.5,438.1,430.5,431.4,408.6,426.3,415.4,397.7,396.8,385.9,375.8,374.9,342.9,324.4,305.8,284.8,285.6,279.7,257.0,225.8,210.6,219.0,184.5,188.7,187.9,171.9,173.6,180.3,138.2,145.8,172.7,179.5,178.6,172.7,169.3,206.4,214.8,254.4,256.1,261.2,281.4,348.0,376.6,404.4,425.5,459.2,481.1,622.6,665.6,838.3,779.3,1102.8,1201.4,1329.5,1503.9,1578.8,1712.0,1706.1,1706.1,1631.9,1652.1,1703.5,1776.8,1698.5,1633.6,1642.9,1637.8,1506.4,1610.0,1647.9,1739.8,1733.0,1692.6,1677.4,1691.7,1626.0,1612.5,1529.1,1445.7,1428.0,1446.6,1422.1,1420.4,1354.7,1345.5,1496.3,1622.6,1614.2,1632.8,1609.2,1587.3,1480.3,1469.3,1460.9,1526.6,1278.9,1627.7,1793.7,1819.8,1973.1,1904.9,1883.0,1715.3,1690.9,1920.0,2058.2,1966.4,2120.6,2102.9,1947.8,1911.6,2023.7,2418.8,2534.2,2605.0
LK Garmisch-Partenkirchen,9180,52.1,47.6,61.2,61.2,57.8,52.1,52.1,53.2,37.4,37.4,35.1,28.3,20.4,27.2,22.7,26.1,23.8,18.1,29.5,23.8,22.7,27.2,28.3,30.6,29.5,29.5,31.7,29.5,43.0,38.5,41.9,40.8,58.9,69.1,82.7,83.8,82.7,95.2,103.1,83.8,94.0,106.5,137.1,121.2,134.8,169.9,138.2,156.3,165.4,230.0,203.9,227.7,231.1,213.0,299.1,346.6,401.0,427.1,413.5,466.7,493.9,548.3,566.4,676.3,719.3,671.7,697.8,726.1,683.1,649.1,558.5,440.6,524.5,558.5,550.5,467.8,589.0,577.7,489.4,649.1,653.6,591.3,623.0,789.5,820.1,739.7,744.2,744.2,723.8,628.7,740.8,714.8,633.2,589.0,643.4,524.5,527.9,459.9,405.5,398.7,322.8,292.3,211.8,180.1,214.1,175.6,156.3,156.3,151.8,137.1,219.8,239.0,234.5,244.7,265.1,259.4,254.9,196.0,237.9,233.4,261.7,326.2,371.5,363.6,291.1,415.7,452.0,402.1,466.7,518.8,559.6,488.2,679.7,815.6,747.6,829.2,936.8,1012.7,1064.8,1077.3,1069.3,1042.2,1070.5,1165.6,1210.9,1053.5,1447.7,1401.2,1473.7,1585.9,1619.9,1645.9,1592.7,1704.8,1824.9,1805.6,1567.8,1651.6,1693.5,1689.0,1679.9,1652.7,1480.5,1572.3,1951.8,1897.4,1896.3,1903.1,1914.4,1794.3,1762.6,1867.9,1818.1,1912.1,1952.9,2498.9,2927.1,2981.5,2646.2,2868.2,2995.0,2710.7,2474.0,2240.6,2282.5,2310.9,2290.5,2198.7,2156.8,2162.5,2128.5,2070.7,2026.5,1990.3,1920.0,1965.4,1840.8,1616.5,1751.3
LK Germersheim,7334,115.5,115.5,101.5,100.0,92.2,85.3,90.7,94.6,94.6,94.6,101.5,100.0,88.4,78.3,61.2,61.2,61.2,48.8,39.5,48.8,59.7,64.3,64.3,64.3,65.1,69.0,72.9,81.4,89.1,89.1,89.1,110.8,117.8,118.6,124.0,121.7,121.7,121.7,140.3,162.8,155.0,169.8,160.5,160.5,160.5,163.6,158.9,193.8,192.2,203.9,203.9,176.7,168.2,162.8,175.2,180.6,221.7,221.7,221.7,300.8,310.8,335.6,359.7,353.5,353.5,353.5,424.8,455.8,494.6,495.3,555.8,555.8,555.8,562.8,476.7,558.9,600.7,552.7,552.7,552.7,643.4,691.4,666.6,662.0,727.9,727.9,727.9,606.2,507.7,639.5,575.9,554.2,554.2,554.2,535.6,524.8,498.4,441.8,451.9,451.9,451.9,405.4,431.8,407.0,346.5,284.5,284.5,284.5,285.3,238.0,198.4,249.6,249.6,249.6,249.6,231.0,244.9,264.3,230.2,340.3,340.3,340.3,375.2,366.6,388.4,389.1,413.9,413.9,413.9,369.8,280.6,528.7,562.0,652.7,652.7,652.7,782.1,802.3,881.4,962.7,1069.7,1069.7,1069.7,1256.5,1325.5,1348.8,1415.4,1494.5,1493.7,1493.7,1508.5,1376.7,1506.9,1492.2,1534.0,1531.7,1531.7,1506.1,1488.3,1351.1,1373.6,1524.7,1524.7,1525.5,1330.9,1248.0,1169.7,1167.4,1207.7,1207.7,1286.8,1134.1,1358.1,1331.7,1329.4,1350.3,1350.3,1350.3,1451.9,1223.2,1593.7,1647.2,1792.9,1792.9,1792.9,1832.5,1864.3,1914.6,2023.9,2098.4,2098.4,2098.4,2206.1,2085.2,2336.3,2230.1,2379.7,2379.7,2379.7
